Результат выполнения команды UAC : успешно,Local HMI,LW_Bit,895100,,Неопределенный
Результат выполнения команды UAC : неверная команда,Local HMI,LW_Bit,895101,,Неопределенный
Результат выполнения команды UAC : аккаунт существет,Local HMI,LW_Bit,895102,,Неопределенный
Результат выполнения команды UAC : аккаунт не существует,Local HMI,LW_Bit,895103,,Неопределенный
Результат выполнение команды UAC : неверный пароль,Local HMI,LW_Bit,895104,,Неопределенный
Результат выполнения команды UAC : команда запрещена,Local HMI,LW_Bit,895105,,Неопределенный
Результат выполнения команды UAC : неверное имя,Local HMI,LW_Bit,895106,,Неопределенный
Результат выполнение команды UAC : неверный символ в пароле,Local HMI,LW_Bit,895107,,Неопределенный
Результат выполнения команды UAC : неверный импорт данных,Local HMI,LW_Bit,895108,,Неопределенный
Результат выполнения команды UAC : неверный диапазон,Local HMI,LW_Bit,895109,,Неопределенный
Привилегии UAC (Класс A ),Local HMI,LW_Bit,895300,,Неопределенный
Привилегии UAC (Класс B ),Local HMI,LW_Bit,895301,,Неопределенный
Привилегии UAC (Класс C ),Local HMI,LW_Bit,895302,,Неопределенный
Привилегии UAC (Класс D ),Local HMI,LW_Bit,895303,,Неопределенный
Привилегии UAC (Класс E ),Local HMI,LW_Bit,895304,,Неопределенный
Привилегии UAC (Класс F ),Local HMI,LW_Bit,895305,,Неопределенный
Привилегии UAC (Класс G ),Local HMI,LW_Bit,895306,,Неопределенный
Привилегии UAC (Класс H ),Local HMI,LW_Bit,895307,,Неопределенный
Привилегии UAC (Класс I ),Local HMI,LW_Bit,895308,,Неопределенный
Привилегии UAC (Класс J ),Local HMI,LW_Bit,895309,,Неопределенный
Привилегии UAC (Класс K ),Local HMI,LW_Bit,895310,,Неопределенный
Привилегии UAC (Класс L ),Local HMI,LW_Bit,895311,,Неопределенный
Команда UAC,Local HMI,LW,8950,,Неопределенный
Результат выполнения команды UAC,Local HMI,LW,8951,,Неопределенный
Индекс пользователя UAC,Local HMI,LW,8952,,Неопределенный
Привилегии пользователя UAC,Local HMI,LW,8953,,Неопределенный
Имя пользователя UAC,Local HMI,LW,8954,,Неопределенный
Пароль UAC,Local HMI,LW,8962,,Неопределенный
Fgas,MODBUS,%MD,5,Витрата газу,32-bit Float
xDrumLH2,MODBUS,%IX,0,Великий рівень в барабані 2,Неопределенный
